Business Name,Longitude,Latitude
231 EAST 94TH STREET PARKING LLC,-73.94946076,40.78355196
80 EAST END GARAGE LLC,-73.94609654,40.77313416
SP PLUS CORPORATION,-73.97038325,40.75810727
MTP 57 LLC,-73.99176137,40.7704731
CHAMPION 29 LLC,-73.98616352,40.74500408
MP WEST 52 LLC,-73.9847914,40.76407165
EAGLE ONE GARAGE LLC,-73.97336103,40.74942911
MP WEST 29 LLC,-74.00269973,40.75199026
MAY PARKING CORP.,-73.95805812,40.76694975
PARK GATE PARKING INC.,-73.96723281,40.79327748
60TH STORAGE CORP.,-73.96547584,40.76189639
MP WEST 97 LLC,-73.96789703,40.7939117
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98503377,40.76182923
SP PLUS CORPORATION,-74.00912706,40.71999983
SP PLUS CORPORATION,-73.99212273,40.73709976
SP PLUS CORPORATION,-73.95133866,40.78822705
550 WEST 45TH ST. GARAGE LLC,-73.99580538,40.76227203
"101 CAR PARK, LLC",-73.99322631,40.74309711
CHIVIAN GARAGE CORP.,-73.99822827,40.73622169
LM MUSTANG PARKING LLC,-73.94942271,40.77184564
SP PLUS CORPORATION,-73.98891572,40.75332096
CHAMPION PARKING 83RD ST CORP,-73.95277393,40.77576655
"LIBERTY VIEW PARKING, LLC",-74.01664405,40.71553876
CHAMPION PARKING MIDTOWN LLC,-73.97474732,40.74839739
EAST 77TH REALTY LLC,-73.95118592,40.76997449
SP PLUS CORPORATION,-73.9560347,40.78057936
CHAMPION PARKING 57 LLC,-73.98363189,40.76702484
113 EAST 84 PARTNERS LLC,-73.95749113,40.77858723
EASTSIDE 65 PARKING LLC,-73.96284582,40.76562019
SP PLUS CORPORATION,-73.96701327,40.79175409
QUIK PARK EAST 102ND STREET GARAGE LLC,-73.94376624,40.78783385
INNOVATIVE PARKING LLC,-73.97300771,40.74849307
CHAMPION PARKING 75 LLC,-73.95494367,40.77073082
BETH PARKING CORP.,-74.01648738,40.70926974
CHAMPION PARKING 81 LLC,-73.94941475,40.7728063
PARK LANE HOTEL GARAGE LLC,-73.97479516,40.76505252
MP WEST 97 LLC,-73.96785731,40.79389522
SP PLUS CORPORATION,-73.97423891,40.79386389
SP PLUS CORPORATION,-73.95929955,40.76175165
PEAK TIME PARKING INC.,-73.96403091,40.76375963
403 LAFAYETTE LLC,-73.99267217,40.72840167
RAPID EAST 38TH STREET CORP.,-73.97917874,40.75006709
"200 EAST 72ND STREET GARAGE PARTNERS, LLC",-73.96084392,40.76896262
EMPIRE PARKING CORP.,-73.97350155,40.7953843
IMPERIAL HOUSE PARKING MANAGEMENT COMPANY,-73.96337542,40.76757462
605 WEST 42ND STREET GARAGE LLC,-73.99861746,40.76096011
NEW YORK PARKING 54TH ST. CORP.,-73.97374659,40.76013371
CHAMPION PARKING 90 LLC,-73.95633632,40.78314855
CHAMPION PARKING 77TH ST. CORP.,-73.96271069,40.77485345
MP WEST 97 LLC,-73.96863766,40.79333277
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-74.00431379,40.70726991
SP PLUS CORPORATION,-73.98657457,40.74681017
200 E. 70 GARAGE CORP.,-73.96188072,40.76776626
QUIK PARK MORTON LLC,-74.00913942,40.7311655
PARKWIZ LLC,-73.96300197,40.75747659
MP MAD 106 LLC,-73.94987965,40.79311205
KIPS BAY 27 PARKING LLC,-73.97977349,40.74068289
"PROPARK AMERICA NEW YORK, LLC",-73.99508135,40.74140644
250 W. 50TH PARKING LLC,-73.98503377,40.76182923
1350 SIXTH PARKING LLC,-73.97834091,40.76273119
SUTTON 53 PARKING LLC,-77.51958437,40.11238534
390 MADISON PARKING CORP.,-73.97715206,40.75573735
FLATIRON 20 PARKING LLC,-73.99188421,40.74007779
RAPID 75 CORP,-73.95908307,40.77332615
VIP CAPITAL PARKING CORPORATION,-73.99475423,40.72524256
MANHATTAN PARKING WEST 20 LLC,-74.00649251,40.74621241
SOUTH WILLIAM PARKING LLC,-74.0107696,40.70451649
MANHATTAN PARKING E 71 ST  CORP,-73.95833189,40.76790502
KAYLEE OPERATING LLC,-73.98401231,40.746335
PARKLEX GARAGE INC.,-73.97339732,40.75796528
162 PARKING OPS LLC,-73.94084492,40.83644142
AP ETON MANAGEMENT LLC,-73.95295197,40.77418291
EAST 54TH OPERATING LLC,-73.96789273,40.75789526
SP PLUS CORPORATION,-73.99687855,40.73988591
KAPPA PARKING INC,-73.98687632,40.73565005
DL GARAGE HOLDINGS LLC,-73.96533827,40.76265665
AP RIVERSIDE MANAGEMENT LLC.,-73.97613094,40.79502257
"355 EAST 76TH GARAGE, LLC.",-73.95520353,40.77085993
UNION SQUARE CAR PARK LLC,-73.98871325,40.73407201
355 E. 72ND GARAGE CORP.,-73.95707172,40.76826686
S.D. BARRON LLC,-73.99028321,40.73167049
MEMORIAL SLOAN KETTERING CANCER CENTER,-73.95792303,40.76363954
WEST 88TH GARAGE LLC,-73.97408158,40.7898044
"Y & H ENTERPRISES, INC.",-73.95428243,40.81887861
"IMPERIAL PARKING (U.S.), LLC",-73.95985892,40.76200436
GREENLUX PARKING LLC,-74.01507142,40.71618948
ABLE PARKING LLC,-73.94760009,40.80777337
LUDLOW OPERATING LLC,-73.98830405,40.72185231
AP IMPALA MANAGAEMENT LLC,-73.95371654,40.77021433
425 EAST 79 CAR PARK LLC,-73.95211583,40.77211303
CORINTHIAN GARAGE LLC,-73.97274136,40.74674185
"KRD REALTY CO., INC.",-73.98943086,40.75959001
REALPRO PARKING LLC,-73.97235854,40.74738678
"THE SOCIETY OF THE NEW YORK HOSPITAL FUND, INC.",-77.51958437,40.11238534
2211 3RD AVE PARKING LLC,-73.93792566,40.80079696
CHURCH STREET PARKING LLC,-74.0092019,40.71334104
"BARROW STREET GARAGE, LLC",-74.00220102,40.73291425
LTG PARKING CORP.,-73.98600869,40.7777214
BEAVER STREET PARKING LLC,-74.01062534,40.70456865
MANAGEMENT SYSTEMS LLC,-73.97871861,40.74428931
WORTHY PARKING LLC,-73.98927066,40.76815633
TGL GARAGE LLC,-73.99904737,40.73654833
EAST PLAZA GARAGE LLC,-73.97610365,40.74024578
SELECT PARKING LLC,-73.96517038,40.75926409
JDS PARKING LLC,-73.99577309,40.7592336
815 TENTH PARKING LLC,-73.98990617,40.76728631
OMEGA PARKING SYSTEMS LLC,-73.98233238,40.73934937
225 EAST 63RD PARKING CORP,-73.96409587,40.7637871
QUIK PARK PCVST GARAGE LLC,-73.97630096,40.73336747
QUIK PARK REAL LLC,-73.98050024,40.74821461
GLOBAL PARKING LLC,-73.98710362,40.75442691
NORTH PLAZA GARAGE LLC,-73.9767457,40.74105286
AP SAINT NICHOLAS MANAGEMENT LLC,-73.94528297,40.82295608
CHAMPION 58 LLC,-73.97508422,40.7643362
HANOVER PARKING LLC,-74.00940626,40.70446995
"CLARITY 47 PARKING, LLC",-73.98309974,40.75857644
333 RECTOR GARAGE LLC,-74.01725211,40.70944804
"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.95429749,40.76538381
UNI. FACILITY CORP.,-77.51958437,40.11238534
CLIFF PARKING LLC,-74.00616417,40.70800542
185TH OPERATING LLC,-73.93471486,40.85215431
RIVER YORK STRATFORD LLC,-73.95297444,40.7679304
QUIK PARK PCVST GARAGE LLC,-73.97905155,40.72989588
QUIK PARK LIBBY 2 LLC,-73.9691076,40.75347655
310 LEX PARKING MGMT LLC,-73.97799897,40.74878507
PLAZA 48 PARKING LLC,-77.51958437,40.11238534
TENTH AVE NY CORP,-73.91840741,40.865184
EAST 71ST STREET LLC,-73.95639366,40.76727301
QUIK PARK BLEECKER STREET GARAGE LLC,-74.00460058,40.73410541
QUIK PARK SOUTHERN LLC,-74.01260867,40.70270201
QUIK PARK PCVST GARAGE LLC,-73.97433129,40.73224444
LITTLE LIBERTY 1 LLC,-74.01507503,40.71621967
SP PLUS CORPORATION,-73.96999558,40.76129931
ONE PARKING 1411 LLC,-73.98702422,40.75437475
ENTERPRISE PARKING SYSTEMS 11 LLC,-73.98724809,40.73506271
GRAMERCY 24 PARKING LLC,-73.98083882,40.73799048
QUIK PARK PCVST GARAGE LLC,-73.9747038,40.7299554
111 EIGHTH AVENUE PARKING LLC,-74.00184402,40.74070387
TWOTWOTWO 58 GARAGE LLC,-73.96673664,40.75992604
39TH AND EIGHTH PARKING LLC,-73.99181374,40.75558836
"95 WORTH, LLC",-74.0044767,40.71633585
GARSCH GARAGE CORP.,-73.974324,40.78861324
QUIK PARK PCVST GARAGE LLC,-73.97523807,40.72921992
STATE-PEARL GARAGE INC.,-74.01443372,40.70322056
QUIK PARK 390 GARAGE LLC,-73.97236076,40.75941975
"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.95542074,40.76457455
BAMFORD REALTY LLC,-73.96487853,40.75826492
UPTOWN PARKING LLC,-73.96441347,40.76392169
GREENWICH STREET PARKING LLC,-74.00881782,40.72757813
1114 SIXTH PARKING LLC,-73.98373221,40.75535146
188 EAST 64TH STREET GARAGE LLC,-73.96478479,40.76487972
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.98990565,40.74690109
IH ASSOCIATES LLC,-73.97068937,40.79248244
QUIK PARK W. 14TH STREET LLC,-74.00055933,40.7389143
SEAPORT PARKING LLC,-74.00392794,40.70869446
67TH ST. & 2ND AVE. GARAGE INC.,-73.96095725,40.76653631
92ND REALTY LLC,-73.94514487,40.78009711
ADVANCE PARKING LLC,-73.98785024,40.75730622
PARK AVENUE 39 PARKING LLC,-73.97886461,40.75050345
"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-74.01407384,40.70692055
160 EAST 84TH STREET ASSOCIATES LLC,-73.95587761,40.77788946
PATRIOT PARKING LLC,-74.01067791,40.71756784
SP PLUS CORPORATION,-73.99396601,40.74424994
WORTHY PARKING LLC,-73.98927066,40.76815633
QUIK PARK MIA GARAGE LLC,-73.99649371,40.7155701
LM 29 PARK LLC,-73.99373467,40.74821335
LTG PARKING CORP.,-73.98668407,40.77676082
PREMIER PARKING LLC,-73.96529495,40.76265663
24 LEONARD PARKING LLC,-74.00780654,40.71859736
PACE PARKING LLC,-73.98659891,40.75141037
QP EAST 36TH STREET LLC,-77.51958437,40.11238534
GREENLUX PARKING LLC,-74.01481537,40.71652438
SP PLUS CORPORATION,-73.96428439,40.75555567
357 EAST 57TH STREET PARKING CORP,-73.96369437,40.75864332
BLEECKER PARKING CORP.,-73.94357018,40.81037895
DELTA PARK INC,-73.95489691,40.77581681
ATRIUM PARK LLC,-73.98859475,40.75182779
EXCELLENT PARKING LLC,-77.51958437,40.11238534
AUDUBON PARKING OPS LLC,-73.93315062,40.84764386
222 EAST 69TH GARAGE CORP.,-73.9608485,40.76731029
165 WEST 66TH STREET PARKING LLC,-73.98355786,40.77445209
LTG PARKING CORP.,-73.98593274,40.77828955
WELCOME PARKING LIMITED LIABILITY COMPANY,-74.00712033,40.74496352
LTG PARKING CORP.,-73.98646737,40.77709291
1330 SIXTH PARKING LLC,-77.51958437,40.11238534
"KINNEY PARKING SYSTEM, INC.",-77.51958437,40.11238534
SHERMAN PARKING INC.,-73.92085107,40.86549036
SP PLUS CORPORATION,-73.9791993,40.76515221
420 EAST 53RD PARKING LLC,-73.96413645,40.75547328
CROWNE GARAGE LLC,-73.98516405,40.76037728
"90 ST. OPERATING, LLC",-73.94697986,40.77920593
"LEXFORD PROPERTIES, L.P.",-73.95125258,40.7726177
RECTOR WEST PARKING LLC,-74.01619872,40.70883062
2 LINCOLN PARKING LLC,-73.9821577,40.77180321
VALOR PARKING LLC,-73.97216158,40.75232728
"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.95525136,40.76414905
CAROUSEL PARKING CORP,-73.98035353,40.78062999
BROADWAY & 64TH PARKING LLC,-73.98215055,40.77151776
METROPOLITAN STORAGE CORP.,-73.94344365,40.78498466
CIRCLE PARKING LLC,-73.9824851,40.7623888
BARCLAY STREET REALTY LLC,-74.00856328,40.71219927
QUIK PARK LITTLE WEST LLC,-74.0165193,40.7070602
CHARLES GARAGE MGMT LLC.,-74.00798156,40.73416286
136 EAST 55TH STREET GARAGE LLC,-73.96974734,40.75947399
"IMPERIAL PARKING (U.S.), LLC",-73.96227868,40.766276
GARDEN LOTS LLC,-73.99007146,40.74828994
29 DOWNING LLC,-74.00336631,40.72944486
QUIK PARK PCVST GARAGE LLC,-73.97903205,40.73453452
