stationName,Longitude,Latitude,totalDocks
Forsyth St & Canal St,-73.99422366,40.7158155,29
Pearl St & Anchorage Pl,-73.98765762,40.70281858,24
Pearl St & Hanover Square,-74.00926027,40.7047177,42
Cumberland St & Lafayette Ave,-73.97265183,40.68753406,31
Barclay St & Church St,-74.01020234,40.71291224,25
Front St & Gold St,-73.982578,40.70224,23
Carlton Ave & Park Ave,-73.97355569,40.69580705,23
Clermont Ave & Lafayette Ave,-73.96968902,40.68764484,23
Clermont Ave & Park Ave,-73.97129668,40.69573398,19
W 59 St & 10 Ave,-73.988038,40.770513,79
W 54 St & 9 Ave,-73.98690506,40.76584941,27
Bus Slip & State St,-74.013942,40.701907,47
E 7 St & Avenue A,-73.98379855,40.72621788,31
9 Ave & W 18 St,-74.00366443,40.74317449,27
W 21 St & 6 Ave,-73.99415556,40.74173969,50
Hancock St & Bedford Ave,-73.95399026,40.68216564,27
Macon St & Nostrand Ave,-73.95004798,40.68098339,24
St Marks Pl & 1 Ave,-73.98564945,40.72779126,47
E 4 St & 2 Ave,-73.98978041,40.7262807,39
E 45 St & 3 Ave,-73.97282625,40.75255434,32
E 52 St & 2 Ave,-73.967416,40.756014,40
W 27 St & 7 Ave,-73.993915,40.746647,51
Bedford Ave & S 9 St,-73.96408963,40.70853074,23
E 10 St & Avenue A,-73.98142006,40.72740794,79
W 24 St & 7 Ave,-73.99529885,40.74487634,47
8 Ave & W 52 St,-73.9851615,40.76370739,31
W 37 St & 10 Ave,-73.9979009,40.75660359,27
W 49 St & 8 Ave,-73.98788205,40.76227205,67
W 22 St & 8 Ave,-73.99915362,40.74475148,66
E 51 St & 1 Ave,-73.96592976,40.75455731,34
1 Ave & E 44 St,-73.96905301,40.75001986,59
E 53 St & Madison Ave,-73.97402311,40.7597108,35
11 Ave & W 27 St,-74.005226,40.751396,31
W 20 St & 11 Ave,-74.007756,40.746745,39
S 4 St & Wythe Ave,-73.96590294,40.71285887,25
E 20 St & 2 Ave,-73.98205027,40.73587678,56
W 22 St & 10 Ave,-74.00451887,40.74691959,47
Broadway & W 41 St,-73.98658032,40.75513557,39
W 25 St & 6 Ave,-73.99144871,40.74395411,35
Dean St & 4 Ave,-73.97895137,40.68312489,34
Broadway & W 53 St,-73.98268129,40.76344058,57
W 20 St & 8 Ave,-74.00004031,40.74345335,72
Grand St & Havemeyer St,-73.95698119,40.71286844,31
E 32 St & Park Ave,-73.98194829,40.7457121,55
Rivington St & Chrystie St,-73.9919254,40.72110063,38
5 Ave & E 29 St,-73.98683077,40.7451677,56
E 31 St & 3 Ave,-73.97966069,40.74394314,47
W 41 St & 8 Ave,-73.9900262,40.75640548,59
11 Ave & W 41 St,-73.99884222,40.76030096,37
9 Ave & W 45 St,-73.9912551,40.76019252,31
W 53 St & 10 Ave,-73.99061728,40.76669671,29
S 3 St & Bedford Ave,-73.96264403,40.71260486,25
W 15 St & 7 Ave,-73.99931783,40.73935542,77
E 12 St & 3 Ave,-73.98889957,40.73223272,34
W 37 St & 5 Ave,-73.98338988,40.75038009,40
Broadway & W 29 St,-73.98855723,40.7462009,41
E 20 St & FDR Drive,-73.97573881,40.73314259,34
8 Ave & W 33 St,-73.993934,40.751551,66
W 33 St & 7 Ave,-73.99093085,40.75019995,68
W 45 St & 6 Ave,-73.98291153,40.7568001,34
W 26 St & 8 Ave,-73.99723551,40.74734825,66
W 47 St & 10 Ave,-73.99301222,40.76269882,39
E 16 St & 5 Ave,-73.99238967,40.73726186,47
E 17 St & Broadway,-73.99009296,40.73704984,66
Broadway & W 60 St,-73.98191841,40.76915505,36
Broadway & W 51 St,-73.98336183,40.76228826,52
FDR Drive & E 35 St,-73.97121214,40.744219,79
Henry St & Grand St,-73.981346,40.714215,30
E 20 St & Park Ave,-73.98751968,40.73827428,31
1 Ave & E 16 St,-73.98165557,40.73221853,53
E 25 St & 2 Ave,-73.97973776,40.73912601,45
W 46 St & 11 Ave,-73.99667444,40.76341379,25
W 56 St & 10 Ave,-73.988639,40.768254,29
12 Ave & W 40 St,-74.00277668,40.76087502,52
W 43 St & 10 Ave,-73.99461843,40.76009437,35
E 47 St & 1 Ave,-73.96784384,40.75206862,31
Pershing Square South,-73.97791,40.751581,69
E 39 St & 2 Ave,-73.9734419,40.74780373,39
Pershing Square North,-73.977706,40.751873,69
E 51 St & Lexington Ave,-73.97207836,40.75714758,51
W 38 St & 8 Ave,-73.99138152,40.75466591,51
W 34 St & 11 Ave,-74.0021163,40.75594159,56
2 Ave & E 31 St,-73.97706058,40.74290902,39
W 42 St & 8 Ave,-73.99098507,40.7575699,41
11 Ave & W 59 St,-73.99046034,40.77149671,24
Forsyth St & Broome St,-73.99266288,40.71893904,39
Broadway & W 38 St,-73.98721619,40.75299641,46
Water - Whitehall Plaza,-74.0127234,40.70255065,31
1 Ave & E 30 St,-73.97536082,40.74144387,29
Metropolitan Ave & Bedford Ave,-73.96024116,40.71534825,31
