Business Name,Longitude,Latitude
LAUNDRY QUEEN 1 INC.,-73.98708624,40.71373593
"M & N QUALITY CLEANERS, INC.",-73.98674331,40.73311662
"SECOND WAVE LAUNDERCENTER, INC.",-73.98658139,40.76670683
CHOW & LAM CORP.,-73.98607294,40.72945504
CHEN UP & UP LAUNDROMAT INC,-73.98601303,40.72266725
NEW UP & UP LAUNDROMAT INC.,-73.98601303,40.72266725
K.L. NEW HOPE INC.,-73.98599241,40.73493905
MADISON CLEANER 28TH ST. CORP.,-73.98593996,40.74410103
"COSMO'S LAUNDERAMA, INC.",-73.98556469,40.72723447
LC LAUNDROMAT INC.,-73.9853442,40.74546784
COSMO'S LAUNDERAMA INC,-73.98504499,40.72791236
"EAST VILLAGE LAUNDERETTE, INC.",-73.98486921,40.72348504
"NEW 97 CLEANERS, INC.",-73.9847914,40.76407165
"NOUVEAU CLEANERS, INC",-73.98478374,40.75022167
ELITE ZIP BUSINESS INC.,-73.98476891,40.72033405
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,-73.98472214,40.71978235
173 E SECOND ST LAUNDRY CORP.,-73.98469265,40.72254631
"CITY SUPER LAUNDRY, INC.",-73.98469265,40.72254631
SINCERE LAUNDRY INC,-73.98466009,40.7385894
JIANG'S LAUNDRY I INC.,-73.98466009,40.7385894
NEW TEAM CLEANERS INC.,-73.98452032,40.71892321
"G & M LAUNDERAMA, INC.",-73.98448499,40.73124167
WEST 57 CLEANERS CORP.,-73.98444408,40.76736804
"PARK EAST MADISON CLEANERS, INC.",-73.98443845,40.74510267
"YUN, MI Y",-73.98443845,40.74510267
"A G HOPE, INC.",-73.98417683,40.73740361
"QUICK COIN ONE LAUNDRY, INC.",-73.98411744,40.72922423
"AVENUE A LAUNDRY KING, INC.",-73.98386214,40.72562033
A BIG SELF SERVICE LAUNDRY LLC,-73.98386214,40.72562033
BANDO CLEANERS INC,-73.98385364,40.7755665
MR. LIN LAUNDROMAT INC,-73.98377135,40.71321949
LUCKY COIN LAUNDROMAT INC.,-73.98377135,40.71321949
YEE'S CLEANERS GROUP INC.,-73.98364102,40.72984448
NOERLUND LLC,-73.98349519,40.72136316
"KLAPALZ, IWONA",-73.98349519,40.72136316
"PHOENIX LAUNDROMAT, INC",-73.9834425,40.73015186
"CHEUNG, RUI-JUAN",-73.98327476,40.73721409
"C.U. LAUNDERETTE, INC.",-73.98318476,40.77925807
FASHION LAUNDROMAT INC.,-73.98317373,40.7371729
"RIVINGTON LAUNDROMAT & DRY CLEANING, INC.",-73.98309187,40.71848659
"JENNY YANG'S LAUNDROMAT, INC",-73.98291985,40.72812616
LINCHEN LAUNDROMAT INC.,-73.98285729,40.77496525
"EXCELLENT CLEANER & LAUNDRY, CORP.",-73.98285729,40.77496525
NEW TEAM CLEANERS INC.,-73.98279131,40.72292482
CAPITAL LAUNDRY & CLEANERS INC,-73.98279131,40.72292482
QUICK COIN AVENUE B LAUNDROMAT INC.,-73.98275522,40.72297971
NABI CLEANERS INC.,-73.98251016,40.73570162
"B LAUNDROMAT, INC.",-73.98239792,40.72346822
AVENUE B BEST CLEANER INC.,-73.98239792,40.72346822
"NEW ANSONIA CLEANING, LLC",-73.98222395,40.78057266
"Y Z BRITE LAUNDROMAT, INC.",-73.98194477,40.74486077
"NEW ABSOLUTE LAUNDRY, INC.",-73.98193435,40.74335115
"PRESTIGE LAUND-CLEAN, INC.",-73.98191154,40.73433738
SOHAIL LAUNDROMAT INC.,-73.98179048,40.7812176
"14TH STREET LAUNDROMAT, INC.",-73.98177894,40.7310217
EVERGREEN LAUNDRY NY INC.,-73.98177894,40.7310217
"NEW EVERGREEN LAUNDRY NY, INC.",-73.98176811,40.73102993
C.H UNITED CENTURY CORP,-73.9817226,40.73909126
JENNY YANG SUPREME LAUNDROMAT INC,-73.98153896,40.72464285
"CHAN, KA-TING",-73.98143981,40.78272715
FREE ORIENTAL OASIS INC.,-73.98132548,40.73974994
HSCS CORP.,-73.98121673,40.74149559
CSJS CLEANERS CORP.,-73.98121673,40.74149559
CRYSTAL CLEANERS NEW LAUNDROMAT INC,-73.98114624,40.73553672
CRYSTAL CLEANERS YE INC.,-73.98114624,40.73553672
ABSOLUTE LAUNDRY & CLEANERS CORP.,-73.98113845,40.73754862
"HUANG, PEI YAN",-73.98105824,40.74044432
217 LAUNDROMAT INC.,-73.98099329,40.74041686
"KD LAUNDROMAT, INC.",-73.98099329,40.74041686
"KIM'S NY LAUNDROMAT, INC",-73.9809206,40.72962448
"BRIGHT WHITE 29, INC",-73.98067882,40.74220364
"ACELUCK OF P & N, INC.",-73.98067882,40.74220364
SUN CLEANERS INC,-73.9805167,40.71658956
LAUNDRY LAND 1ST AVE LLC,-73.98029864,40.73427673
KIM N.Y. INC.,-73.98029864,40.73427673
"LUCKY TWO CLEANERS, INC.",-73.98005318,40.73461155
NY GARMENT CARE CORP,-73.97996294,40.73470211
"DEKHKANOV, NISON",-73.97988324,40.73576706
"AVENUE C. LAUNDROMAT, INC.",-73.97980417,40.72280357
"KANG & KANGHEE, INC.",-73.97978026,40.77783575
JILLYBABY LAUNDROMAT INC.,-73.97977668,40.7301897
102 WEST LAUNDROMAT CORP.,-73.97974443,40.776919
NEW ABSOLUTE LAUNDROMAT III INC.,-73.97969263,40.74552462
EAST 26 STREET & 2ND AVE. LAUNDROMAT INC.,-73.97968001,40.73956576
WESTSIDE LAUNDROMAT CORP.,-73.97955229,40.77946334
"YANGTZE RIVER LAUNDROMAT, INC.",-73.97952326,40.72121156
YI RAE LLC,-73.9795039,40.7372574
"SPIN CITY CLEANERS, LLC",-73.97940946,40.72756565
363 1ST AVENUE CLEANERS LLC,-73.97924818,40.73570931
KIM & SUNG CORP,-73.97924818,40.73570931
TONY'S LAUNDRY LLC,-73.97924675,40.77506622
HBH LAUNDRY CORP.,-73.97924675,40.77506622
"BRUSCO, MICHAEL",-73.97908164,40.7834541
WEST 79TH ST. LAUNDROMAT LLC,-73.97908164,40.7834541
BESTEL CLEANERS INC.,-73.97890003,40.72980802
ALLYSON JOY LAUNDROMAT INC,-73.97890003,40.72980802
ALLYSONJOY LAUNDROMAT INC,-73.97890003,40.72980802
ON TIME EAST CLEANERS INC.,-73.97886284,40.74469281
POLY ORGANIC CORP.,-73.97856143,40.78414842
S & K LAUNDROMAT INC.,-73.97856143,40.78414842
80TH LAUNDROMAT CORP.,-73.97856143,40.78414842
"PRECIOUS 2 NY, INC.",-73.97847236,40.72459565
"HERE TO CLEAN, INC.",-73.97847236,40.72459565
S & D LAUNDERETTE INC.,-73.97806319,40.78392051
WASH SUPPLY LAUNDROMAT INC,-73.97804888,40.78351155
CHESTERFIELD CLEANERS CO. INC.,-73.97804888,40.78351155
"RABCO OF NEW YORK, LLC",-73.97804888,40.78351155
W S 409 LAUNDROMAT INC.,-73.97804888,40.78351155
CRAIG'S WORLD LIMITED LIABILITY COMPANY,-73.97804888,40.78351155
NEW MODERN FRENCH CLEANERS INC.,-73.97792906,40.74192318
LOAD LAUNDROMAT LLC,-73.97782499,40.72933847
14TH ST. WASH & DRY INC.,-73.97782499,40.72933847
"NEW WESTSIDE CLEANER, INC.",-73.9778099,40.78547399
SOAP'N SUDS L.L.C.,-73.97767486,40.77896345
"MURRAY HILL CLEANERS & LAUNDRY, INC.",-73.97764637,40.74553522
CHANYANG CORPORATION,-73.97764637,40.74553522
85TH LAUNDRY INC,-73.97752743,40.78786185
85TH LAUNDROMAT INC.,-73.97752743,40.78786185
"P&K LAUNDROMAT, INC.",-73.9775142,40.78427448
"P&K LAUNDROMAT, INC.",-73.9775142,40.78427448
BERKELY SUTTON CLEANERS CORP.,-73.97719929,40.73374642
"C11 CLEANERS, INC.",-73.97691306,40.72672528
"MIDWAY CLEANERS, INC.",-73.97671091,40.74767868
"LEE, ROBERT SUM & LEE, WAI HING",-73.97666698,40.72884693
YUHHSAN INC.,-73.97663162,40.77823314
POLY ORGANIC CLEANERS INC.,-73.97616201,40.77884512
"PARK, YUN K",-73.97616201,40.77884512
"88 LAUNDROMAT, INC.",-73.97507819,40.79011202
"K.B LAUNDRY SERVICE, INC.",-73.97488147,40.78506716
CHINESE LAUNDRY INC,-73.97471408,40.78844864
"HEW, CHONG MEN",-73.97460811,40.7916874
11 GOODLY LAUNDROMAT INC.,-73.97402264,40.74649512
"LIU, SHU KWONG T",-73.97382536,40.78933499
"LIU, CHING MAY",-73.97382536,40.78933499
CAMBRIDGE CLEANERS' INC.,-73.97378398,40.74768903
"PARK WEST LAUNDROMAT, CORP.",-73.9734189,40.78530014
"PARKER FAIRWAY CLEANERS, INC.",-73.97336103,40.74942911
"X KLEEN GROUP, INC.",-73.97289934,40.79310603
"HOYAA LAUNDRY, INC.",-73.97263938,40.78414168
526 COLUMBUS MERCHANTS INC.,-73.97249053,40.78607119
SYMPHONY 44 CLEANERS INC.,-73.97245783,40.75163293
N Y WASH INC.,-73.97244868,40.7912203
TW LAUNDRY INC.,-73.97244868,40.7912203
PRESTIGE FIRST AVE. CLEANING CORP.,-73.97210661,40.74569595
X'TRA KLEEN INC.,-73.97182317,40.79295756
"46TH STREET CLEANING & LAUNDERING, INC.",-73.96979036,40.75215376
"XTREEM KLEEN, LLC",-73.9695433,40.79520217
302 INC.,-73.96859479,40.75407751
"50TH STREET LAUNDRY & CLEANER, INC.",-73.96810362,40.7546922
EAST MIDTOWN LAUNDRY & CLEANER INC,-73.96810362,40.7546922
"CHEN, MIN YU",-73.96810362,40.7546922
OS BUBBLES LLC,-73.96804462,40.80243138
S-ELEVEN LAUNDRY INC,-73.96804461,40.80245333
DAE YOUNG NEW YORK CORP.,-73.96800218,40.79304714
103 CLEANERS INC.,-73.96790188,40.79882477
OFF-BROADWAY LAUNDROMAT INC,-73.96756204,40.79950262
"WONG, YOKE MOY",-73.9672223,40.75596002
"GATSCH, GEOK LIAN",-73.9672223,40.75596002
JHONALVI SERVICES CORP,-73.96702732,40.76338724
"KIM, SOON HAE",-73.96655012,40.75756825
ARIRANG CLEANERS INC,-73.96645709,40.76312633
WAN XIAN YIP,-73.96607808,40.80559274
"YIP, YING KOON",-73.96607808,40.80559274
"CUCI LAUNDRY SERVICES, INC.",-73.96584602,40.80027065
LIBERTY LAUNDRY INC.,-73.96584602,40.80027065
POLANCO & SON LAUNDROMAT CORP.,-73.96552072,40.8007152
965 LAUNDROMAT INC.,-73.96506892,40.80129969
SBM SUDS INC.,-73.96400982,40.80278975
NICK LAUNDROMAT & CLEANER INC.,-73.96376869,40.76137162
"S & J 21, LLC",-73.96325354,40.79872731
"DAVID, L LEE",-73.962405,40.76632819
JIM LEE CLEANERS LLC,-73.962405,40.76632819
"GIM, CHIN YORK",-73.962405,40.76632819
"CHIN, CHOW",-73.96233326,40.75913694
LALO C AND K LAUNDROMAT CORP.,-73.96208242,40.80029966
LAUNDRY 201 LLC,-73.96169855,40.80205342
"HARIC LAUNDRY, INC.",-73.96067357,40.76398086
ROYAL SUTTON LAUNDROMAT CORP.,-73.96037526,40.76176849
"GAO & CHENG, INC.",-73.96007759,40.76454607
"PULLEY, JUNGNAM",-73.95965179,40.77023028
"1320 2ND AVE. CLEANERS, INC.",-73.95951643,40.76720827
EXCELLENT LAUNDRY SERVICE INC,-73.95949606,40.76510031
"B. BUBBLES, INC.",-73.9594337,40.8141404
"B. BUBBLES, INC.",-73.9594337,40.8141404
GLOBAL WASH & CLEANER CORP,-73.95892531,40.76569846
"ARNETT, SARAH",-73.95892531,40.76569846
"EXCELLENT LAUNDRY & DRY CLEANER, INC",-73.9588299,40.76236631
1386 INC.,-73.95846139,40.76864889
FEI'S LAUNDRY & CLEANERS INC.,-73.95846139,40.76864889
"CHONG, LIAN WAH",-73.95845512,40.76712006
"LA MODE 1ST CLEANER, INC.",-73.95780135,40.76766329
"H & J LAUNDRY, INC.",-73.95755442,40.76993035
MANHATTAN10021 LLC,-73.95722061,40.77252126
DD LAUNDROMAT CORP.,-73.95711086,40.76915617
A-TIP LAUNDROMAT CORP.,-73.95711086,40.76915617
"TRINH, NICK",-73.95645,40.81361782
"B & M LAUNDROMAT, INC.",-73.95631213,40.7704953
PALACE 75 CLEANERS INC,-73.95631213,40.7704953
JIN 75 LAUNDRY & DRY CLEANING INC,-73.95627603,40.77048157
"MINT MAKERS, INC.",-73.95608088,40.78172394
AWESOME LAUNDRY & CLEANER INC.,-73.95585758,40.77541096
AWESOME LAUNDRY & CLEANER INC.,-73.95585758,40.77541096
"80TH ST CLEANERS, INC.",-73.95574985,40.77453534
NEW YORK RELIABLE LAUNDRY & CLEANERS INC.,-73.95494536,40.76824134
SO CLEAN LAUNDROMAT INC.,-73.9547296,40.77229799
N & N LAUNDROMAT CORP.,-73.9547296,40.77229799
"FINE TOUCH KLEAN, INC.",-73.95471701,40.76957794
PERFECT THINGS LLC,-73.95470757,40.82062167
"LEE'S EVERCLEAN LAUNDROMAT, INC.",-73.95470659,40.76897135
A R J SERVICES  INC.,-73.9543796,40.7772768
"DAPPER DUDS LAUNDROMAT, INC.",-73.95435274,40.77431796
SMK LAUNDROMAT INC.,-73.95401101,40.80385663
